paragraph_index,original_iast,aksharamukha_output,sanscript_output
59,etad uktaṁ bhavati—svayam ahetuḥ svarūpa-śaktyaika-vilāsamayatvena tatrodāsīnam api prakṛti-jīva-pravartakāvastha-paramātmāpara-paryāya-svāṁśa-lakṣaṇa-puruṣa-dvārā yad asya sarga-sthity-ādi-hetur bhavati tad bhagavad-rūpaṁ viddhi | anenāsya-pūrṇa-svarūpa-śaktitvena bhagavattvaivopasthāpitā | ,एतद् उक्तं भवति—स्वयम् अहेतुः स्वरूपशक्त्यैकविलासमयत्वेन तत्रोदासीनम् अपि प्रकृतिजीवप्रवर्तकावस्थपरमात्मापरपर्यायस्वांशलक्षणपुरुषद्वारा यद् अस्य सर्गस्थित्यादिहेतुर् भवति तद् भगवद्रूपं विद्धि । अनेनास्यपूर्णस्वरूपशक्तित्वेन भगवत्त्वैवोपस्थापिता । ,एतद् उक्तꣳ भवति—स्वयम् अहेतुः स्वरूपशक्त्यैकविलासमयत्वेन तत्रोदासीनम् अपि प्रकृतिजीवप्रवर्तकावस्थपरमात्मापरपर्यायस्वाꣳशलक्षणपुरुषद्वारा यद् अस्य सर्गस्थित्यादिहेतुर् भवति तद् भगवद्रूपꣳ विद्धि । अनेनास्यपूर्णस्वरूपशक्तित्वेन भगवत्त्वैवोपस्थापिता । 
60,"yad vā, aṁśitvān na vidyate hetuḥ puruṣādy-avatārasya svayam ivāśrayāntaraṁ yasya sa ity api bhagavati tatraiva paramātma-rūpatā caivam upatiṣṭhatīty āha—punas tenaiva yena hetu-kartrā ātmāṁśa-bhūta-jīva-praveśana-dvārā sañjīvitāni santi dehādīni tad-upalakṣaṇāni pradhānādi-sarvāṇy eva tattvāni, yenaiva preritatayaiva caranti sva-sva-kārye pravartante, tat paramātma-rūpaṁ viddhi |","यद् वा, अंशित्वान् न विद्यते हेतुः पुरुषाद्यवतारस्य स्वयम् इवाश्रयान्तरं यस्य स इत्य् अपि भगवति तत्रैव परमात्मरूपता चैवम् उपतिष्ठतीत्य् आह—पुनस् तेनैव येन हेतुकर्त्रा आत्मांशभूतजीवप्रवेशनद्वारा सञ्जीवितानि सन्ति देहादीनि तदुपलक्षणानि प्रधानादिसर्वाण्य् एव तत्त्वानि, येनैव प्रेरिततयैव चरन्ति स्वस्वकार्ये प्रवर्तन्ते, तत् परमात्मरूपं विद्धि ।","यद् वा, अꣳशित्वान् न विद्यते हेतुः पुरुषाद्यवतारस्य स्वयम् इवाश्रयान्तरꣳ यस्य स इत्य् अपि भगवति तत्रैव परमात्मरूपता चैवम् उपतिष्ठतीत्य् आह—पुनस् तेनैव येन हेतुकर्त्रा आत्माꣳशभूतजीवप्रवेशनद्वारा सञ्जीवितानि सन्ति देहादीनि तदुपलक्षणानि प्रधानादिसर्वाण्य् एव तत्त्वानि, येनैव प्रेरिततयैव चरन्ति स्वस्वकार्ये प्रवर्तन्ते, तत् परमात्मरूपꣳ विद्धि ।"
61,"tathā ca, tasmai namo bhagavate brahmaṇe paramātmane [bhā.pu. 10.28.7] ity atra varuṇa-kṛta-śrī-kṛṣṇa-stutau ṭīkā ca—paramātmane sarva-jīva-niyantre ity eṣā | jīvasyātmatvaṁ tad-apekṣayā tasya paramatvam ity ataḥ paramātma-śabdena tat-sahayogī sa eva vyajyate iti | tat-tad-aviśiṣṭatvena brahmatva-mātraṁ caivam upatiṣṭhatīty āha—svapneti | jāgare svapne suṣuptau ca yat tad-anvitaṁ, tad-bahiḥ samādhy-ādau ca yad avaśiṣṭaṁ cin-mātratvena prakāśamānaṁ tad brahma-rūpaṁ viddhi | yadyapi,","तथा च, तस्मै नमो भगवते ब्रह्मणे परमात्मने [भा.पु. १०.२८.७] इत्य् अत्र वरुणकृतश्रीकृष्णस्तुतौ टीका च—परमात्मने सर्वजीवनियन्त्रे इत्य् एषा । जीवस्यात्मत्वं तदपेक्षया तस्य परमत्वम् इत्य् अतः परमात्मशब्देन तत्सहयोगी स एव व्यज्यते इति । तत्तदविशिष्टत्वेन ब्रह्मत्वमात्रं चैवम् उपतिष्ठतीत्य् आह—स्वप्नेति । जागरे स्वप्ने सुषुप्तौ च यत् तदन्वितं, तद्बहिः समाध्यादौ च यद् अवशिष्टं चिन्मात्रत्वेन प्रकाशमानं तद् ब्रह्मरूपं विद्धि । यद्यपि,","तथा च, तस्मै नमो भगवते ब्रह्मणे परमात्मने [भा.पु. १०.२८.७] इत्य् अत्र वरुणकृतश्रीकृष्णस्तुतौ टीका च—परमात्मने सर्वजीवनियन्त्रे इत्य् एषा । जीवस्यात्मत्वꣳ तदपेक्षया तस्य परमत्वम् इत्य् अतः परमात्मशब्देन तत्सहयोगी स एव व्यज्यते इति । तत्तदविशिष्टत्वेन ब्रह्मत्वमात्रꣳ चैवम् उपतिष्ठतीत्य् आह—स्वप्नेति । जागरे स्वप्ने सुषुप्तौ च यत् तदन्वितꣳ, तद्बहिः समाध्यादौ च यद् अवशिष्टꣳ चिन्मात्रत्वेन प्रकाशमानꣳ तद् ब्रह्मरूपꣳ विद्धि । यद्यपि,"
62,jāgrat svapnaḥ suṣuptaṁ ca guṇato buddhi-vṛttayaḥ |,जाग्रत् स्वप्नः सुषुप्तं च गुणतो बुद्धिवृत्तयः ।,जाग्रत् स्वप्नः सुषुप्तꣳ च गुणतो बुद्धिवृत्तयः ।
63,tāsāṁ vilakṣaṇo jīvaḥ sākṣitvena viniścitaḥ || [bhā.pu. 11.13. 27],तासां विलक्षणो जीवः साक्षित्वेन विनिश्चितः ॥ [भा.पु. ११.१३. २७],तासाꣳ विलक्षणो जीवः साक्षित्वेन विनिश्चितः ॥ [भा.पु. ११.१३. २७]
64,"iti darśanena śuddha-jīva-svarūpam evātropasthitaṁ bhavati, tathāpy atra na tan-mātraṁ vivakṣitam, kintv antar-bhūta-jīvākhyādi-śaktikaṁ pūrṇa-cid-rūpam eva vivakṣitam | yatra pūrṇaṁ vastu darśayituṁ na śakyate tatraika-deśa-nirdeśenaivoddiśyate—aṅguly-agre samudro’yam itivat | brahmatva-grahaṇaṁ cābheda-dṛṣṭyaiva syād iti tad-abheda-nirdeśaś cātropayukta eva | ","इति दर्शनेन शुद्धजीवस्वरूपम् एवात्रोपस्थितं भवति, तथाप्य् अत्र न तन्मात्रं विवक्षितम्, किन्त्व् अन्तर्भूतजीवाख्यादिशक्तिकं पूर्णचिद्रूपम् एव विवक्षितम् । यत्र पूर्णं वस्तु दर्शयितुं न शक्यते तत्रैकदेशनिर्देशेनैवोद्दिश्यते—अङ्गुल्यग्रे समुद्रोऽयम् इतिवत् । ब्रह्मत्वग्रहणं चाभेददृष्ट्यैव स्याद् इति तदभेदनिर्देशश् चात्रोपयुक्त एव । ","इति दर्शनेन शुद्धजीवस्वरूपम् एवात्रोपस्थितꣳ भवति, तथाप्य् अत्र न तन्मात्रꣳ विवक्षितम्, किन्त्व् अन्तर्भूतजीवाख्यादिशक्तिकꣳ पूर्णचिद्रूपम् एव विवक्षितम् । यत्र पूर्णꣳ वस्तु दर्शयितुꣳ न शक्यते तत्रैकदेशनिर्देशेनैवोद्दिश्यते—अङ्गुल्यग्रे समुद्रोऽयम् इतिवत् । ब्रह्मत्वग्रहणꣳ चाभेददृष्ट्यैव स्याद् इति तदभेदनिर्देशश् चात्रोपयुक्त एव । "
65,"evam anyatrāpy abheda-nirdeśo vivecanīyaḥ | yadi bhedo jñāpanīyaḥ, tadā svapnādau yad-anvayena sthitaṁ4, yac ca tad-bahiḥ śuddhāyāṁ jīvākhya-śaktau, tathā sthitaṁ, ca-kārāt tataḥ paratrāpi vyatirekeṇa sthitaṁ svayam avaśiṣṭam iti vyākhyeyam | tadaivaṁ yat trividhatvenaivāvirbhavati, tat param eva tattvam avehīti ||","एवम् अन्यत्राप्य् अभेदनिर्देशो विवेचनीयः । यदि भेदो ज्ञापनीयः, तदा स्वप्नादौ यदन्वयेन स्थितं४, यच् च तद्बहिः शुद्धायां जीवाख्यशक्तौ, तथा स्थितं, चकारात् ततः परत्रापि व्यतिरेकेण स्थितं स्वयम् अवशिष्टम् इति व्याख्येयम् । तदैवं यत् त्रिविधत्वेनैवाविर्भवति, तत् परम् एव तत्त्वम् अवेहीति ॥","एवम् अन्यत्राप्य् अभेदनिर्देशो विवेचनीयः । यदि भेदो ज्ञापनीयः, तदा स्वप्नादौ यदन्वयेन स्थितꣳ४, यच् च तद्बहिः शुद्धायाꣳ जीवाख्यशक्तौ, तथा स्थितꣳ, चकारात् ततः परत्रापि व्यतिरेकेण स्थितꣳ स्वयम् अवशिष्टम् इति व्याख्येयम् । तदैवꣳ यत् त्रिविधत्वेनैवाविर्भवति, तत् परम् एव तत्त्वम् अवेहीति ॥"
67,idam eva trayaṁ siddhi-prasaṅge’py āha tribhiḥ |,इदम् एव त्रयं सिद्धिप्रसङ्गेऽप्य् आह त्रिभिः ।,इदम् एव त्रयꣳ सिद्धिप्रसङ्गेऽप्य् आह त्रिभिः ।
68,viṣṇau try-adhīśvare cittaṁ dhārayet kāla-vigrahe |,विष्णौ त्र्यधीश्वरे चित्तं धारयेत् कालविग्रहे ।,विष्णौ त्र्यधीश्वरे चित्तꣳ धारयेत् कालविग्रहे ।
69,sa īśitvam avāpnoti kṣetraṁ kṣetrajña-codanam ||,स ईशित्वम् अवाप्नोति क्षेत्रं क्षेत्रज्ञचोदनम् ॥,स ईशित्वम् अवाप्नोति क्षेत्रꣳ क्षेत्रज्ञचोदनम् ॥
72,nirguṇe brahmaṇi mayi dhārayan viśadaṁ manaḥ |,निर्गुणे ब्रह्मणि मयि धारयन् विशदं मनः ।,निर्गुणे ब्रह्मणि मयि धारयन् विशदꣳ मनः ।
75,virāṭ hiraṇya-garbhaś ca kāraṇaṁ cety upādhayaḥ |,विराट् हिरण्यगर्भश् च कारणं चेत्य् उपाधयः ।,विराट् हिरण्यगर्भश् च कारणꣳ चेत्य् उपाधयः ।
76,īśasya yat tribhir hīnaḥ turīyaṁ tat padaṁ viduḥ || ity evaṁ lakṣaṇe |,ईशस्य यत् त्रिभिर् हीनः तुरीयं तत् पदं विदुः ॥ इत्य् एवं लक्षणे ।,ईशस्य यत् त्रिभिर् हीनः तुरीयꣳ तत् पदꣳ विदुः ॥ इत्य् एवꣳ लक्षणे ।
78,jñāna-vairāgyayoś caiva ṣaṇṇāṁ bhaga itīṅganā || [vi.pu. 6.5.74],ज्ञानवैराग्ययोश् चैव षण्णां भग इतीङ्गना ॥ [वि.पु. ६.५.७४],ज्ञानवैराग्ययोश् चैव षण्णाꣳ भग इतीङ्गना ॥ [वि.पु. ६.५.७४]
81,atha vadantīty ādyasya padyasya pratyavasthānaṁ yāvat tṛtīya-sandarbham udbhāvyate | tatra yogyatā-vaiśiṣṭyenāvirbhāva-vaiśiṣṭyaṁ vaktuṁ brahmāvirbhāve tāvad yogyatām āha—,अथ वदन्तीत्य् आद्यस्य पद्यस्य प्रत्यवस्थानं यावत् तृतीयसन्दर्भम् उद्भाव्यते । तत्र योग्यतावैशिष्ट्येनाविर्भाववैशिष्ट्यं वक्तुं ब्रह्माविर्भावे तावद् योग्यताम् आह—,अथ वदन्तीत्य् आद्यस्य पद्यस्य प्रत्यवस्थानꣳ यावत् तृतीयसन्दर्भम् उद्भाव्यते । तत्र योग्यतावैशिष्ट्येनाविर्भाववैशिष्ट्यꣳ वक्तुꣳ ब्रह्माविर्भावे तावद् योग्यताम् आह—
86,"yadyapi brahmatve bhagavattve ca durjñeyatvam uktam, tathāpi he bhūman svarūpeṇa guṇena cānanta te tavāguṇasya anāviṣkṛta-svarūpa-bhūta-guṇasya yo mahimā mahattvaṁ bṛhattvaṁ, brahmatvam iti yāvat, atha kasmād ucyate brahma bṛṁhati bṛṁhayati ca [a.śi.u. 3.5] iti śruteḥ | sa tava mahimā amalāntarātmabhiḥ śuddhāntaḥ-karaṇair janair viboddhum arhati, teṣāṁ bodhe prakāśitum arhati, samartho bhavatīty arthaḥ |","यद्यपि ब्रह्मत्वे भगवत्त्वे च दुर्ज्ञेयत्वम् उक्तम्, तथापि हे भूमन् स्वरूपेण गुणेन चानन्त ते तवागुणस्य अनाविष्कृतस्वरूपभूतगुणस्य यो महिमा महत्त्वं बृहत्त्वं, ब्रह्मत्वम् इति यावत्, अथ कस्माद् उच्यते ब्रह्म बृंहति बृंहयति च [अ.शि.उ. ३.५] इति श्रुतेः । स तव महिमा अमलान्तरात्मभिः शुद्धान्तःकरणैर् जनैर् विबोद्धुम् अर्हति, तेषां बोधे प्रकाशितुम् अर्हति, समर्थो भवतीत्य् अर्थः ।","यद्यपि ब्रह्मत्वे भगवत्त्वे च दुर्ज्ञेयत्वम् उक्तम्, तथापि हे भूमन् स्वरूपेण गुणेन चानन्त ते तवागुणस्य अनाविष्कृतस्वरूपभूतगुणस्य यो महिमा महत्त्वꣳ बृहत्त्वꣳ, ब्रह्मत्वम् इति यावत्, अथ कस्माद् उच्यते ब्रह्म बृꣳहति बृꣳहयति च [अ.शि.उ. ३.५] इति श्रुतेः । स तव महिमा अमलान्तरात्मभिः शुद्धान्तःकरणैर् जनैर् विबोद्धुम् अर्हति, तेषाꣳ बोधे प्रकाशितुम् अर्हति, समर्थो भवतीत्य् अर्थः ।"
87,kasmān nimittāt? tatrāha—svānubhavāt śuddha-tvaṁ-padārthasya bodhāt | ,कस्मान् निमित्तात्? तत्राह—स्वानुभवात् शुद्धत्वंपदार्थस्य बोधात् । ,कस्मान् निमित्तात्? तत्राह—स्वानुभवात् शुद्धत्वꣳपदार्थस्य बोधात् । 
88,"nanv anubhavaḥ khalv antaḥkaraṇasya vṛttiḥ | sā ca sthūla-sūkṣma-deha-vikāra-mayy eva satī, kathaṁ nirvikāra-tvam-padārthaḥ viṣayaṁ kurvīta ? tatrāha—avikriyāt tyakta-tat-tad-vikārāt |","नन्व् अनुभवः खल्व् अन्तःकरणस्य वृत्तिः । सा च स्थूलसूक्ष्मदेहविकारमय्य् एव सती, कथं निर्विकारत्वम्पदार्थः विषयं कुर्वीत ? तत्राह—अविक्रियात् त्यक्ततत्तद्विकारात् ।","नन्व् अनुभवः खल्व् अन्तःकरणस्य वृत्तिः । सा च स्थूलसूक्ष्मदेहविकारमय्य् एव सती, कथꣳ निर्विकारत्वम्पदार्थः विषयꣳ कुर्वीत ? तत्राह—अविक्रियात् त्यक्ततत्तद्विकारात् ।"
89,"nanu viṣayākāra evānubhavo viṣayam upādadīta | śuddha-tvam-padārthas tu na kasyāpi viṣayaḥ syāt, pratyag-rūpatvāt | tatrāha—arūpataḥ rūpyate bhāvyate iti rūpo viṣayaḥ, tad-ākāratā-rahitāt | adeha-dvayāveśa-viṣayākāratā-rāhitye sati svayaṁ śuddha-tvaṁ-padārthaḥ prakāśata iti bhāvaḥ | ","ननु विषयाकार एवानुभवो विषयम् उपाददीत । शुद्धत्वम्पदार्थस् तु न कस्यापि विषयः स्यात्, प्रत्यग्रूपत्वात् । तत्राह—अरूपतः रूप्यते भाव्यते इति रूपो विषयः, तदाकारतारहितात् । अदेहद्वयावेशविषयाकारताराहित्ये सति स्वयं शुद्धत्वंपदार्थः प्रकाशत इति भावः । ","ननु विषयाकार एवानुभवो विषयम् उपाददीत । शुद्धत्वम्पदार्थस् तु न कस्यापि विषयः स्यात्, प्रत्यग्रूपत्वात् । तत्राह—अरूपतः रूप्यते भाव्यते इति रूपो विषयः, तदाकारतारहितात् । अदेहद्वयावेशविषयाकारताराहित्ये सति स्वयꣳ शुद्धत्वꣳपदार्थः प्रकाशत इति भावः । "
90,"nanu sūkṣma-cid-rūpa-tvam-padārthānubhave kathaṁ pūrṇa-cid-ākāra-rūpa-madīya-brahma-svarūpaṁ sphuratu ? tatrāha—ananya-bodhyātmatayā cid-ākāratā-sāmyena śuddha-tvaṁ-padārthaikya-bodhya-svarūpatayā |5b yadyapi tādṛg-ātmānubhavānantaraṁ tad-ananya-bodhyatākṛtau sādhaka-śaktir nāsti, tathāpi pūrvaṁ tad-artham eva kṛtayā sarvatrāpy upajīvyayā sādhana-bhaktyārādhitasya śrī-bhagavataḥ prabhāvād eva tad api tatrodayata iti bhāvaḥ |","ननु सूक्ष्मचिद्रूपत्वम्पदार्थानुभवे कथं पूर्णचिदाकाररूपमदीयब्रह्मस्वरूपं स्फुरतु ? तत्राह—अनन्यबोध्यात्मतया चिदाकारतासाम्येन शुद्धत्वंपदार्थैक्यबोध्यस्वरूपतया ।५ब् यद्यपि तादृगात्मानुभवानन्तरं तदनन्यबोध्यताकृतौ साधकशक्तिर् नास्ति, तथापि पूर्वं तदर्थम् एव कृतया सर्वत्राप्य् उपजीव्यया साधनभक्त्याराधितस्य श्रीभगवतः प्रभावाद् एव तद् अपि तत्रोदयत इति भावः ।","ननु सूक्ष्मचिद्रूपत्वम्पदार्थानुभवे कथꣳ पूर्णचिदाकाररूपमदीयब्रह्मस्वरूपꣳ स्फुरतु ? तत्राह—अनन्यबोध्यात्मतया चिदाकारतासाम्येन शुद्धत्वꣳपदार्थैक्यबोध्यस्वरूपतया ।५ब् यद्यपि तादृगात्मानुभवानन्तरꣳ तदनन्यबोध्यताकृतौ साधकशक्तिर् नास्ति, तथापि पूर्वꣳ तदर्थम् एव कृतया सर्वत्राप्य् उपजीव्यया साधनभक्त्याराधितस्य श्रीभगवतः प्रभावाद् एव तद् अपि तत्रोदयत इति भावः ।"
94,paśyanty ātmani cātmānaṁ ,पश्यन्त्य् आत्मनि चात्मानं ,पश्यन्त्य् आत्मनि चात्मानꣳ 
96,satyavrataṁ prati śrī-matsya-devopadeśe ca—,सत्यव्रतं प्रति श्रीमत्स्यदेवोपदेशे च—,सत्यव्रतꣳ प्रति श्रीमत्स्यदेवोपदेशे च—
97,madīyaṁ mahimānaṁ ca ,मदीयं महिमानं च ,मदीयꣳ महिमानꣳ च 
98,paraṁ brahmeti śabditam |,परं ब्रह्मेति शब्दितम् ।,परꣳ ब्रह्मेति शब्दितम् ।
99,vetsyasy anugṛhītaṁ me ,वेत्स्यस्य् अनुगृहीतं मे ,वेत्स्यस्य् अनुगृहीतꣳ मे 
100,sampraśnair vivṛtaṁ hṛdi || [bhā.pu. 8.24.38] iti ||,सम्प्रश्नैर् विवृतं हृदि ॥ [भा.पु. ८.२४.३८] इति ॥,सम्प्रश्नैर् विवृतꣳ हृदि ॥ [भा.पु. ८.२४.३८] इति ॥
103,śaśvat praśāntam abhayaṁ pratibodha-mātraṁ,शश्वत् प्रशान्तम् अभयं प्रतिबोधमात्रं,शश्वत् प्रशान्तम् अभयꣳ प्रतिबोधमात्रꣳ
104,śuddhaṁ samaṁ sad-asataḥ paramātma-tattvam |,शुद्धं समं सदसतः परमात्मतत्त्वम् ।,शुद्धꣳ समꣳ सदसतः परमात्मतत्त्वम् ।
107,tad vai padaṁ bhagavataḥ paramasya puṁso,तद् वै पदं भगवतः परमस्य पुंसो,तद् वै पदꣳ भगवतः परमस्य पुꣳसो
108,brahmeti yad vidur ajasra-sukhaṁ viśokam || [bhā.pu. 2.7.47-48],ब्रह्मेति यद् विदुर् अजस्रसुखं विशोकम् ॥ [भा.पु. २.७.४७-४८],ब्रह्मेति यद् विदुर् अजस्रसुखꣳ विशोकम् ॥ [भा.पु. २.७.४७-४८]
109,"ayam arthaḥ—sarvato bṛhattamatvād brahmeti yad viduḥ, tat khalu paramasya puṁso bhagavataḥ padam eva, nirvikalpatayā sākṣāt-kṛteḥ prāthamikatvāt, brahmaṇaś ca bhagavata eva nirvikalpa-sattā-rūpatvāt, vicitra-rūpādi-vikalpa-viśeṣa-viśiṣṭasya bhagavatas tu sākṣāt-kṛtes tad-anantarajatvāt, tadīya-svarūpa-bhūtaṁ tad brahma tat-sākṣāt-kārāspadaṁ bhavatīty arthaḥ | ","अयम् अर्थः—सर्वतो बृहत्तमत्वाद् ब्रह्मेति यद् विदुः, तत् खलु परमस्य पुंसो भगवतः पदम् एव, निर्विकल्पतया साक्षात्कृतेः प्राथमिकत्वात्, ब्रह्मणश् च भगवत एव निर्विकल्पसत्तारूपत्वात्, विचित्ररूपादिविकल्पविशेषविशिष्टस्य भगवतस् तु साक्षात्कृतेस् तदनन्तरजत्वात्, तदीयस्वरूपभूतं तद् ब्रह्म तत्साक्षात्कारास्पदं भवतीत्य् अर्थः । ","अयम् अर्थः—सर्वतो बृहत्तमत्वाद् ब्रह्मेति यद् विदुः, तत् खलु परमस्य पुꣳसो भगवतः पदम् एव, निर्विकल्पतया साक्षात्कृतेः प्राथमिकत्वात्, ब्रह्मणश् च भगवत एव निर्विकल्पसत्तारूपत्वात्, विचित्ररूपादिविकल्पविशेषविशिष्टस्य भगवतस् तु साक्षात्कृतेस् तदनन्तरजत्वात्, तदीयस्वरूपभूतꣳ तद् ब्रह्म तत्साक्षात्कारास्पदꣳ भवतीत्य् अर्थः । "
110,"nirvikalpa-brahmaṇas tasya svarūpa-lakṣaṇam āha—pratibodha-mātram iti, ajasra-sukham iti ca | jaḍasya duḥkhasya ca pratiyogitayā pratīyate yad vastu, yac ca nityaṁ, tad eka-rūpaṁ tad-rūpam ity arthaḥ | yad ātma-tattvaṁ sarveṣām ātmanāṁ mūlam | ātmā hi sva-prakāśa-rūpatayā nirupādhi-parama-premāspadatayā ca tat-tad-rūpeṇa pratīyata ity arthaḥ | ","निर्विकल्पब्रह्मणस् तस्य स्वरूपलक्षणम् आह—प्रतिबोधमात्रम् इति, अजस्रसुखम् इति च । जडस्य दुःखस्य च प्रतियोगितया प्रतीयते यद् वस्तु, यच् च नित्यं, तद् एकरूपं तद्रूपम् इत्य् अर्थः । यद् आत्मतत्त्वं सर्वेषाम् आत्मनां मूलम् । आत्मा हि स्वप्रकाशरूपतया निरुपाधिपरमप्रेमास्पदतया च तत्तद्रूपेण प्रतीयत इत्य् अर्थः । ","निर्विकल्पब्रह्मणस् तस्य स्वरूपलक्षणम् आह—प्रतिबोधमात्रम् इति, अजस्रसुखम् इति च । जडस्य दुःखस्य च प्रतियोगितया प्रतीयते यद् वस्तु, यच् च नित्यꣳ, तद् एकरूपꣳ तद्रूपम् इत्य् अर्थः । यद् आत्मतत्त्वꣳ सर्वेषाम् आत्मनाꣳ मूलम् । आत्मा हि स्वप्रकाशरूपतया निरुपाधिपरमप्रेमास्पदतया च तत्तद्रूपेण प्रतीयत इत्य् अर्थः । "
111,"atha tasya sukha-rūpasya ajasratve hetum āha—śāśvat praśāntaṁ nityam eva kṣobha-rahitaṁ, tadvad abhayaṁ bhaya-śūnyaṁ, viśokaṁ śoka-rahitaṁ ceti | na ca sukha-rūpatve tasya puṇya-janyatvaṁ syād ity āha—śabdo na yatreti | yatra kriyārtho yajñādy-arthaḥ puru-kārakavān śabdo na pravartate ity arthaḥ | tvaṁ tv aupaniṣadaṁ puruṣam [bṛ.ā.u. 3.9.26] ity-ādi-rītyā kevalam upaniṣad eva prakāśikā bhavatīty arthaḥ | ","अथ तस्य सुखरूपस्य अजस्रत्वे हेतुम् आह—शाश्वत् प्रशान्तं नित्यम् एव क्षोभरहितं, तद्वद् अभयं भयशून्यं, विशोकं शोकरहितं चेति । न च सुखरूपत्वे तस्य पुण्यजन्यत्वं स्याद् इत्य् आह—शब्दो न यत्रेति । यत्र क्रियार्थो यज्ञाद्यर्थः पुरुकारकवान् शब्दो न प्रवर्तते इत्य् अर्थः । त्वं त्व् औपनिषदं पुरुषम् [बृ.आ.उ. ३.९.२६] इत्यादिरीत्या केवलम् उपनिषद् एव प्रकाशिका भवतीत्य् अर्थः । ","अथ तस्य सुखरूपस्य अजस्रत्वे हेतुम् आह—शाश्वत् प्रशान्तꣳ नित्यम् एव क्षोभरहितꣳ, तद्वद् अभयꣳ भयशून्यꣳ, विशोकꣳ शोकरहितꣳ चेति । न च सुखरूपत्वे तस्य पुण्यजन्यत्वꣳ स्याद् इत्य् आह—शब्दो न यत्रेति । यत्र क्रियार्थो यज्ञाद्यर्थः पुरुकारकवान् शब्दो न प्रवर्तते इत्य् अर्थः । त्वꣳ त्व् औपनिषदꣳ पुरुषम् [बृ.आ.उ. ३.९.२६] इत्यादिरीत्या केवलम् उपनिषद् एव प्रकाशिका भवतीत्य् अर्थः । "
112,"punaḥ sukha-svarūpatve cendriya-janyatvaṁ vyāvartayati—śuddham ity-ādinā | tatra śuddhaṁ doṣa-rahitam | samam uccāvacatā-śūnyam | sad-asataḥ paraṁ kāraṇa-kārya-vargād upari-sthitam | kiṁ bahunā ? ity āha—māyā ca yasyābhimukhe yad-unmukhatayā sthite jīvan-mukta-gaṇe vilajjamānaiva paraiti palāyate, tato dūraṁ gacchatīty arthaḥ ||","पुनः सुखस्वरूपत्वे चेन्द्रियजन्यत्वं व्यावर्तयति—शुद्धम् इत्यादिना । तत्र शुद्धं दोषरहितम् । समम् उच्चावचताशून्यम् । सदसतः परं कारणकार्यवर्गाद् उपरिस्थितम् । किं बहुना ? इत्य् आह—माया च यस्याभिमुखे यदुन्मुखतया स्थिते जीवन्मुक्तगणे विलज्जमानैव परैति पलायते, ततो दूरं गच्छतीत्य् अर्थः ॥","पुनः सुखस्वरूपत्वे चेन्द्रियजन्यत्वꣳ व्यावर्तयति—शुद्धम् इत्यादिना । तत्र शुद्धꣳ दोषरहितम् । समम् उच्चावचताशून्यम् । सदसतः परꣳ कारणकार्यवर्गाद् उपरिस्थितम् । किꣳ बहुना ? इत्य् आह—माया च यस्याभिमुखे यदुन्मुखतया स्थिते जीवन्मुक्तगणे विलज्जमानैव परैति पलायते, ततो दूरꣳ गच्छतीत्य् अर्थः ॥"
118,apaśyat puruṣaṁ pūrṇaṁ [bhā.pu. 1.7.4] iti | ,अपश्यत् पुरुषं पूर्णं [भा.पु. १.७.४] इति । ,अपश्यत् पुरुषꣳ पूर्णꣳ [भा.पु. १.७.४] इति । 
120,tad itthaṁ brahmaṇā coktam—,तद् इत्थं ब्रह्मणा चोक्तम्—,तद् इत्थꣳ ब्रह्मणा चोक्तम्—
121,tvaṁ bhakti-yoga-paribhāvita-hṛt-saroja,त्वं भक्तियोगपरिभावितहृत्सरोज,त्वꣳ भक्तियोगपरिभावितहृत्सरोज
122,āsse śrutekṣita-patho nanu nātha puṁsām || [bhā.pu. 3.9.11] iti ||,आस्से श्रुतेक्षितपथो ननु नाथ पुंसाम् ॥ [भा.पु. ३.९.११] इति ॥,आस्से श्रुतेक्षितपथो ननु नाथ पुꣳसाम् ॥ [भा.पु. ३.९.११] इति ॥
125,tasmai sva-lokaṁ bhagavān sabhājitaḥ,तस्मै स्वलोकं भगवान् सभाजितः,तस्मै स्वलोकꣳ भगवान् सभाजितः
126,sandarśayām āsa paraṁ na yat-param |,सन्दर्शयाम् आस परं न यत्परम् ।,सन्दर्शयाम् आस परꣳ न यत्परम् ।
127,vyapeta-saṅkleśa-vimoha-sādhvasaṁ,व्यपेतसङ्क्लेशविमोहसाध्वसं,व्यपेतसङ्क्लेशविमोहसाध्वसꣳ
130,sattvaṁ ca miśraṁ na ca kāla-vikramaḥ |,सत्त्वं च मिश्रं न च कालविक्रमः ।,सत्त्वꣳ च मिश्रꣳ न च कालविक्रमः ।
144,karoti mānaṁ bahudhā vibhūtibhiḥ |,करोति मानं बहुधा विभूतिभिः ।,करोति मानꣳ बहुधा विभूतिभिः ।
145,preṅkhaṁ śritā yā kusumākarānugair,प्रेङ्खं श्रिता या कुसुमाकरानुगैर्,प्रेङ्खꣳ श्रिता या कुसुमाकरानुगैर्
147,dadarśa tatrākhila-sātvatāṁ patiṁ,ददर्श तत्राखिलसात्वतां पतिं,ददर्श तत्राखिलसात्वताꣳ पतिꣳ
148,śriyaḥ patiṁ yajña-patiṁ jagat-patim |,श्रियः पतिं यज्ञपतिं जगत्पतिम् ।,श्रियः पतिꣳ यज्ञपतिꣳ जगत्पतिम् ।
